index ,,                 Name                         ,        Author          ,     Genre           , Pages_Count , Keywords                           , Rating , Year_Written 
145,145, Les MisǸrables                              , Victor Hugo            , Historical Fiction,1463," redemption, revolution, justice ",5,1862
146,146, The Road                                    , Cormac McCarthy        , Post-Apocalyptic  ,287," survival, fatherhood, journey  ",5,2006
147,147, The Count of Monte Cristo                   , Alexandre Dumas        , Adventure         ,1276," revenge, betrayal, adventure   ",5,1844
148,148, The Scarlet Letter                          , Nathaniel Hawthorne    , Romanticism       ,279," sin, guilt, redemption         ",5,1850
149,149, Heart of Darkness                           , Joseph Conrad          , Modernist Fiction ,88," colonialism, darkness, journey ",5,1899
150,150, A Tale of Two Cities                        , Charles Dickens        , Historical Fiction,341," revolution, love, sacrifice    ",5,1859
151,151, The Chronicles of Narnia                    , C.S. Lewis             , Fantasy           ,767," adventure, fantasy, morality    ",5,1950
152,152, Watership Down                              , Richard Adams          , Fantasy           ,429," rabbits, adventure, survival   ",5,1972
153,153, The Book Thief                              , Markus Zusak           , Historical Fiction,552," WWII, death, friendship        ",5,2005
154,154, Brave New World                             , Aldous Huxley          , Dystopian Fiction ,259," society, technology, control",,
155,155, The Catcher in the Rye                      , J.D. Salinger          , Bildungsroman     ,277," adolescence, rebellion, identity ",5,1951
156,156, Crime and Punishment                        , Fyodor Dostoevsky      , Psychological Fiction ,551," morality, guilt, redemption     ",5,1866
157,157, One Hundred Years of Solitude               , Gabriel Garc��a Mǭrquez , Magical Realism   ,417," family, fate, magical realism  ",5,1967
158,158, The Picture of Dorian Gray                  , Oscar Wilde            , Gothic Fiction    ,254," vanity, morality, aestheticism  ",5,1890
159,159, The Grapes of Wrath                         , John Steinbeck         , Social Realism    ,455," poverty, migration, social justice ",5,1939
160,160, Wuthering Heights                           , Emily BrontǮ           , Gothic Fiction    ,315," love, revenge, moors           ",5,1847
161,161, The Bell Jar                                , Sylvia Plath           , Autobiographical  ,244," mental illness, identity       ",5,1963
162,162, Fahrenheit 451                              , Ray Bradbury           , Dystopian Fiction ,158," censorship, knowledge, freedom ",5,1953
163,163, Jane Eyre                                   , Charlotte BrontǮ       , Bildungsroman     ,532," love, independence, morality   ",5,1847
164,164, The Handmaid's Tale                         , Margaret Atwood        , Dystopian Fiction ,311," oppression, feminism, dystopia ",5,1985
165,165, Don Quixote                                 , Miguel de Cervantes    , Picaresque Novel  ,863," chivalry, satire, adventure    ",5,1605
166,166, The Brothers Karamazov                      , Fyodor Dostoevsky      , Philosophical Fiction ,796," morality, religion, free will  ",5,1880
167,167, Gone with the Wind                          , Margaret Mitchell      , Historical Fiction,1037," Civil War, love, survival      ",5,1936
168,168, The Trial                                   , Franz Kafka            , Absurdist Fiction ,255," bureaucracy, alienation       ",5,1925
169,169, Middlemarch                                 , George Eliot           , Realist Fiction   ,796," society, marriage, reform     ",5,1871
170,170, The Strange Case of Dr Jekyll and Mr Hyde   , Robert Louis Stevenson , Gothic Fiction    ,64," duality, morality, identity    ",5,1886
171,171, The Divine Comedy                           , Dante Alighieri        , Epic Poetry       ,798," journey, heaven, hell, purgatory ",5,1320
172,172, The Adventures of Sherlock Holmes           , Arthur Conan Doyle     , Detective Fiction ,307," mystery, deduction, crime      ",5,1892
174,174, Little Women                                , Louisa May Alcott      , Bildungsroman     ,449," family, sisterhood, coming-of-age ",5,1868
175,175, The Jungle                                  , Upton Sinclair         , Social Commentary ,345," labor, corruption, capitalism ",5,1906
176,176, The Secret Garden                           , Frances Hodgson Burnett, Children's Fiction,331," friendship, magic, nature      ",5,1911
177,177, Treasure Island                             , Robert Louis Stevenson , Adventure         ,311," pirates, adventure, treasure   ",5,1883
178,178, A Clockwork Orange                          , Anthony Burgess        , Dystopian Fiction ,213," violence, free will, society   ",5,1962
179,179, A Christmas Carol                           , Charles Dickens        , Ghost Story       ,72," redemption, Christmas, ghosts  ",5,1843
180,180, The Old Man and the Sea                     , Ernest Hemingway       , Novella           ,127," courage, determination        ",5,1952
181,181, The Wind in the Willows                     , Kenneth Grahame        , Children's Fiction,235," friendship, adventure, nature ",5,1908
182,182, The War of the Worlds                       , H.G. Wells             , Science Fiction   ,192," alien invasion, technology    ",5,1898
183,183, The Adventures of Tom Sawyer                , Mark Twain             , Adventure         ,274," childhood, adventure, friendship ",5,1876
184,184, Anne of Green Gables                        , L.M. Montgomery        , Children's Fiction,429," friendship, imagination, orphan ",5,1908
185,185, The Call of the Wild                        , Jack London            , Adventure         ,172," survival, wilderness, dog      ",5,1903
186,186, The Metamorphosis                           , Franz Kafka            , Absurdist Fiction ,138," transformation, alienation    ",5,1915
187,187, Moby-Dick                                   , Herman Melville        , Adventure         ,585," whaling, obsession, symbolism   ",5,1851
188,188, To Kill a Mockingbird                       , Harper Lee             , Bildungsroman     ,281," racial injustice, courage      ",5,1960
189,189, The Lord of the Rings                       , J.R.R. Tolkien         , Fantasy           ,1178," epic fantasy, adventure, quest ",5,1954
190,190, Frankenstein                                , Mary Shelley           , Gothic Fiction    ,280," creation, science, morality    ",5,1818
191,191, Pride and Prejudice                         , Jane Austen            , Romance           ,279," love, marriage, social class   ",5,1813
192,192, The Odyssey                                 , Homer                  , Epic Poetry       ,324," journey, heroism, myth        ",5,    8th c. BC
193,193, Brave New World                             , Aldous Huxley          , Dystopian Fiction ,311," technology, control, society  ",5,1932
194,194, War and Peace                               , Leo Tolstoy            , Historical Fiction,1225," war, peace, Russian society   ",5,1869
195,195, Sense and Sensibility                       , Jane Austen            , Romance           ,409," love, sisters, societal norms ",5,1811
196,196, Les MisǸrables                              , Victor Hugo            , Historical Fiction,1232," justice, redemption, revolution ",5,1862
197,197, The Hobbit                                  , J.R.R. Tolkien         , Fantasy           ,310," adventure, quest, dragon      ",5,1937
198,198, The Great Gatsby                            , F. Scott Fitzgerald    , Jazz Age Fiction  ,180," wealth, love, American Dream  ",5,1925
199,199, Anna Karenina                               , Leo Tolstoy            , Realist Fiction   ,964," love, adultery, Russian society ",5,1877
200,200, Dracula                                     , Bram Stoker            , Gothic Fiction    ,418," vampire, horror, Transylvania  ",5,1897
201,201, Heart of Darkness                           , Joseph Conrad          , Psychological Fiction ,78," imperialism, darkness, journey ",5,1899
202,202, Rebecca                                     , Daphne du Maurier      , Gothic Fiction    ,386," mystery, romance, suspense    ",5,1938
203,203, The Count of Monte Cristo                   , Alexandre Dumas        , Adventure         ,1276," revenge, adventure, redemption ",5,1844
204,204, The Scarlet Letter                          , Nathaniel Hawthorne    , Psychological Fiction ,238," sin, guilt, redemption        ",5,1850
205,205, Dubliners                                   , James Joyce            , Short Stories     ,152," life, Dublin, human condition ",5,1914
206,206, Great Expectations                          , Charles Dickens        , Bildungsroman     ,505," ambition, identity, class     ",5,1861
207,207, Lolita                                      , Vladimir Nabokov       , Psychological Fiction ,195," obsession, taboo, morality    ",5,1955
208,208, The Iliad                                   , Homer                  , Epic Poetry       ,683," war, heroism, myth            ",5,    8th c. BC
209,209, Anne Frank: The Diary of a Young Girl       , Anne Frank             , Memoir            ,283," Holocaust, diary, adolescence ",5,1947
210,210, The Adventures of Huckleberry Finn           , Mark Twain             , Adventure         ,327," friendship, adventure, satire ",5,1884
212,212, A Tale of Two Cities                        , Charles Dickens        , Historical Fiction,341," revolution, love, sacrifice   ",5,1859
213,213, One Hundred Years of Solitude               , Gabriel Garc��a Mǭrquez , Magic Realism     ,417," family, solitude, magic       ",5,1967
214,214, The Picture of Dorian Gray                  , Oscar Wilde            , Gothic Fiction    ,253," beauty, corruption, morality  ",5,1890
215,215, Crime and Punishment                        , Fyodor Dostoevsky      , Psychological Fiction ,671," guilt, redemption, morality   ",5,1866
216,216, Wuthering Heights                           , Emily BrontǮ           , Gothic Fiction    ,337," love, revenge, moors          ",5,1847
217,217, Jane Eyre                                   , Charlotte BrontǮ       , Bildungsroman     ,507," love, independence, morality  ",5,1847
218,218, The Catcher in the Rye                      , J.D. Salinger          , Bildungsroman     ,277," adolescence, alienation, identity ",5,1951
219,219,1984, George Orwell          , Dystopian Fiction ,328," totalitarianism, surveillance    ",5,1949
220,220, The Brothers Karamazov                      , Fyodor Dostoevsky      , Philosophical Fiction ,796," faith, morality, fatherhood      ",5,1880
221,221, The Grapes of Wrath                          , John Steinbeck         , Social Commentary ,464," poverty, migration, injustice    ",5,1939
222,222, The Trial                                    , Franz Kafka            , Absurdist Fiction ,267," bureaucracy, guilt, existentialism ",5,1925
223,223, Middlemarch                                  , George Eliot           , Realist Fiction   ,800," marriage, society, politics      ",5,1871
224,224, Beloved                                      , Toni Morrison          , Magical Realism   ,324," slavery, trauma, memory         ",5,1987
225,225, Ulysses                                      , James Joyce            , Modernist Fiction ,783," stream of consciousness, Dublin ",5,1922
226,226, The Stranger                                 , Albert Camus           , Absurdist Fiction ,123," existentialism, absurdity       ",5,1942
227,227, A Clockwork Orange                           , Anthony Burgess        , Dystopian Fiction ,213," violence, free will, dystopia   ",5,1962
228,228, The Handmaid's Tale                          , Margaret Atwood        , Dystopian Fiction ,311," oppression, feminism, dystopia  ",5,1985
229,229, The Sun Also Rises                           , Ernest Hemingway       , Modernist Fiction ,251," disillusionment, lost generation ",5,1926
230,230, A Farewell to Arms                           , Ernest Hemingway       , War Fiction       ,332," war, love, tragedy              ",5,1929
232,232, The Old Man and the Sea                      , Ernest Hemingway       , Novella           ,127," perseverance, courage, struggle ",5,1952
233,233, Fahrenheit 451                               , Ray Bradbury           , Dystopian Fiction ,158," censorship, knowledge, rebellion ",5,1953
234,234, Siddhartha                                   , Hermann Hesse          , Philosophical Fiction ,152," spiritual journey, enlightenment ",5,1922
235,235, The Bell Jar                                 , Sylvia Plath           , Semi-autobiographical ,289," mental illness, identity, society ",5,1963
236,236, The Road                                     , Cormac McCarthy        , Post-apocalyptic Fiction ,287," survival, father-son relationship ",5,2006
237,237, East of Eden                                 , John Steinbeck         , Family Saga       ,602," family, good vs evil, morality  ",5,1952
238,238, Atonement                                    , Ian McEwan             , Historical Fiction,351," love, guilt, redemption         ",5,2001
239,239, Infinite Jest                                , David Foster Wallace   , Postmodern Fiction,1104," addiction, entertainment, satire ",5,1996
240,240, The Road to Wigan Pier                       , George Orwell          , Socio-political   ,264," poverty, inequality, socialism  ",5,1937
241,241, Frankenstein                                 , Mary Shelley           , Gothic Science Fiction ,280," hubris, creation, responsibility ",5,1818
242,242, To Kill a Mockingbird                        , Harper Lee             , Southern Gothic   ,281," racism, justice, childhood      ",5,1960
243,243, The Hitchhiker's Guide to the Galaxy         , Douglas Adams          , Science Fiction   ,193," humor, absurdity, space travel  ",5,1979
244,244, Lolita                                       , Vladimir Nabokov       , Psychological Fiction ,331," taboo, obsession, narration     ",5,1955
245,245, The Great Gatsby                             , F. Scott Fitzgerald    , Jazz Age Fiction  ,180," wealth, love, disillusionment   ",5,1925
246,246, Moby-Dick                                    , Herman Melville        , Adventure Fiction ,378," obsession, revenge, symbolism  ",5,1851
247,247, The Odyssey                                  , Homer                  , Epic Poetry       ,296," heroism, adventure, mythology  ",5,    8th c. BC
248,248, Dracula                                      , Bram Stoker            , Gothic Horror     ,418," vampires, horror, folklore     ",5,1897
249,249, The War of the Worlds                        , H.G. Wells             , Science Fiction   ,192," alien invasion, survival       ",5,1898
250,250, Heart of Darkness                            , Joseph Conrad          , Modernist Fiction ,122," imperialism, darkness, truth   ",5,1899
251,251, Les MisǸrables                               , Victor Hugo            , Historical Fiction,"     1,463   "," redemption, injustice, love    ",5,1862
252,252, A Brief History of Time                      , Stephen Hawking        , Science           ,256," cosmology, physics, universe   ",5,1988
253,253, The Count of Monte Cristo                    , Alexandre Dumas        , Adventure Fiction ,"     1,200   "," revenge, betrayal, redemption  ",5,1844
254,254, The Silmarillion                             , J.R.R. Tolkien         , High Fantasy      ,365," mythology, creation, elves     ",5,1977
255,255, The Wind-Up Bird Chronicle                   , Haruki Murakami        , Magical Realism   ,607," surrealism, identity, trauma   ",5,1994
259,259,1984, George Orwell          , Dystopian Fiction ,328," totalitarianism, surveillance ",5,1949
260,260, The Brothers Karamazov                      , Fyodor Dostoevsky      , Philosophical Fiction ,796," faith, morality, fatherhood    ",5,1880
263,263, Middlemarch                                  , George Eliot           , Realist Fiction   ,800," marriage, society, politics    ",5,1871
264,264, Beloved                                      , Toni Morrison          , Magical Realism   ,324," slavery, trauma, memory       ",5,1987
266,301, The Great Gatsby                        , F. Scott Fitzgerald    , Tragedy            ,218," wealth, love, American Dream    ",5,1925
267,302, To Kill a Mockingbird                   , Harper Lee             , Bildungsroman      ,281," racism, justice, morality       ",5,1960
268,303, Frankenstein                            , Mary Shelley           , Gothic Fiction     ,280," science, creation, ambition     ",5,1818
269,304, The Hobbit                              , J.R.R. Tolkien         , Fantasy            ,310," adventure, quest, friendship    ",5,1937
270,305, The Kite Runner                         , Khaled Hosseini        , Historical Fiction ,371," redemption, friendship, guilt   ",5,2003
271,306, Don Quixote                             , Miguel de Cervantes    , Satire             ,863," chivalry, adventure, madness    ",5,1605
272,307, The Adventures of Sherlock Holmes       , Arthur Conan Doyle     , Detective Fiction  ,339," mystery, investigation, logic   ",5,1892
273,308, Anne of Green Gables                    , Lucy Maud Montgomery   , Bildungsroman      ,429," orphan, imagination, friendship ",5,1908
274,309, The Count of Monte Cristo               , Alexandre Dumas        , Adventure Fiction  ," 1,243 "," revenge, betrayal, justice      ",5,1844
275,310, Sense and Sensibility                   , Jane Austen            ," Romance, Classic Literature ",318," love, marriage, society         ",5,1811
276,311, The Grapes of Wrath                     , John Steinbeck         , Historical Fiction ,464," poverty, migration, survival    ",5,1939
277,312, The Brothers Karamazov                 , Fyodor Dostoevsky      , Philosophical Fiction ,796," family, religion, morality      ",5,1880
278,313, Middlemarch                             , George Eliot           , Realist Fiction    ,799," society, marriage, reform       ",5,1871
279,314, The Sun Also Rises                      , Ernest Hemingway       , Modernist Fiction  ,251," expatriate life, disillusionment",5,1926
280,315, The Sound and the Fury                  , William Faulkner       , Modernist Fiction  ,326," stream of consciousness, decay ",5,1929
281,316, The Scarlet Letter                      , Nathaniel Hawthorne    , Romanticism        ,238," sin, guilt, redemption          ",5,1850
282,317, The Iliad                               , Homer                  , Epic Poetry        ,683," war, heroism, mythology         ",5,    8th c. BC
283,318, The Canterbury Tales                    , Geoffrey Chaucer       , Middle English Poetry ,429," pilgrimage, stories, satire     ",5,1387
284,319, A Tale of Two Cities                    , Charles Dickens        , Historical Fiction ,341," revolution, sacrifice, love     ",5,1859
285,320, The Outsiders                           , S.E. Hinton            , Young Adult Fiction ,192," friendship, loyalty, identity   ",5,1967
286,321, The Adventures of Tom Sawyer            , Mark Twain             , Adventure Fiction  ,274," childhood, adventure, mischief  ",5,1876
287,322, The Divine Secrets of the Ya-Ya Sisterhood , Rebecca Wells        , Southern Fiction  ,356," family, friendship, secrets     ",5,1996
288,323, A Clockwork Orange                      , Anthony Burgess        , Dystopian Fiction  ,213," violence, society, freedom      ",5,1962
289,324, The Little Prince                       , Antoine de Saint-ExupǸry , Children's Literature ,83," friendship, imagination, love   ",5,1943
290,325, The Alchemist                           , Paulo Coelho           ," Quest, Fantasy    ",197," destiny, journey, treasure      ",5,1988
291,326, Beloved                                 , Toni Morrison          , Historical Fiction ,275," slavery, trauma, identity       ",5,1987
292,327, The Secret Garden                       , Frances Hodgson Burnett , Children's Literature ,331," nature, healing, friendship     ",5,1911
293,328, The Handmaid's Tale                     , Margaret Atwood        , Dystopian Fiction ,311," oppression, feminism, rebellion ",5,1985
294,329, The Bell Jar                            , Sylvia Plath           , Semi-Autobiographical Fiction ,290," mental illness, identity, society ",5,1963
295,, Walden                                  , Henry David Thoreau    ," Philosophy, Memoir ",301," nature, solitude, simplicity    ",5,1854
